datetime,LINK_ID,ROAD_ROUTE_ID,SECTN_CAR_CNT,TR_VOL_5MN,SM_TR_VOL_5MN,MD_TR_VOL_5MN,LG_TR_VOL_5MN,TR_VOL_15MN,SM_TR_VOL_15MN,MD_TR_VOL_15MN,LG_TR_VOL_15MN,TR_VOL_YMDH,SM_TR_VOL_YMDH,MD_TR_VOL_YMDH,LG_TR_VOL_YMDH
202112010240,1860217400,AD2500001044,0,9,2,5,2,,,,,,,,
202112010300,1860217400,AD2500001044,2,8,3,2,3,32,9,11,12,105,22,31,52
202112010800,1860217400,AD2500001044,26,35,27,6,2,107,78,25,4,691,451,163,77
202112030800,1860217400,AD2500001044,44,19,12,6,1,62,50,11,1,262,211,35,16
202112011000,1860217400,AD2500001044,19,94,48,38,8,259,152,82,25,1062,802,195,65
202112031420,1860217400,AD2500001044,23,55,55,0,0,,,,,,,,
202112030200,1860217400,AD2500001044,3,10,3,2,5,34,9,12,13,106,24,31,51
202112030820,1860217400,AD2500001044,82,24,19,5,0,,,,,,,,
202112011020,1860217400,AD2500001044,19,118,65,37,16,,,,,,,,
202112031440,1860217400,AD2500001044,21,36,36,0,0,,,,,,,,
202112030220,1860217400,AD2500001044,0,10,2,3,5,,,,,,,,
202112030840,1860217400,AD2500001044,67,25,20,0,5,,,,,,,,
202112011040,1860217400,AD2500001044,8,61,61,0,0,,,,,,,,
202112031500,1860217400,AD2500001044,22,64,64,0,0,150,150,0,0,517,517,0,0
202112030240,1860217400,AD2500001044,0,9,3,3,3,,,,,,,,
202112030900,1860217400,AD2500001044,25,24,19,4,1,55,45,5,5,252,212,27,13
202112011100,1860217400,AD2500001044,23,78,78,0,0,208,208,0,0,861,861,0,0
202112031640,1860217400,AD2500001044,33,27,27,0,0,,,,,,,,
202112031520,1860217400,AD2500001044,32,48,48,0,0,,,,,,,,
202112052200,1860217400,AD2500001044,7,57,19,10,28,151,49,37,65,469,143,114,212
202112050940,1860217400,AD2500001044,9,16,15,1,0,,,,,,,,
