datetime,LINK_ID,ROAD_ROUTE_ID,SECTN_CAR_CNT,TR_VOL_5MN,SM_TR_VOL_5MN,MD_TR_VOL_5MN,LG_TR_VOL_5MN,TR_VOL_15MN,SM_TR_VOL_15MN,MD_TR_VOL_15MN,LG_TR_VOL_15MN,TR_VOL_YMDH,SM_TR_VOL_YMDH,MD_TR_VOL_YMDH,LG_TR_VOL_YMDH
202109010540,1860217400,AD2500001044,0,9,1,3,5,,,,,,,,
202109021040,1860217400,AD2500001044,24,36,36,0,0,,,,,,,,
202109022300,1860217400,AD2500001044,10,32,10,6,16,75,27,15,33,291,103,63,125
202109021700,1860217400,AD2500001044,30,57,57,0,0,167,167,0,0,622,622,0,0
202109030140,1860217400,AD2500001044,0,13,5,3,5,,,,,,,,
202109021100,1860217400,AD2500001044,18,63,63,0,0,136,136,0,0,603,603,0,0
202109022320,1860217400,AD2500001044,0,41,16,12,13,,,,,,,,
202109021720,1860217400,AD2500001044,31,49,49,0,0,,,,,,,,
202109030200,1860217400,AD2500001044,0,10,3,2,5,34,9,12,13,106,24,31,51
202109021120,1860217400,AD2500001044,21,60,60,0,0,,,,,,,,
202109022340,1860217400,AD2500001044,7,16,4,4,8,,,,,,,,
202109021740,1860217400,AD2500001044,9,47,47,0,0,,,,,,,,
202109030220,1860217400,AD2500001044,0,10,2,3,5,,,,,,,,
202109021140,1860217400,AD2500001044,6,48,48,0,0,,,,,,,,
202109030000,1860217400,AD2500001044,4,14,5,6,3,43,17,15,11,172,53,54,65
202109041940,1860217400,AD2500001044,5,40,19,12,9,,,,,,,,
202109030240,1860217400,AD2500001044,2,9,3,3,3,,,,,,,,
202109050200,1860217400,AD2500001044,0,19,4,6,9,37,7,11,19,138,40,35,63
202109051040,1860217400,AD2500001044,16,32,32,0,0,,,,,,,,
202109042000,1860217400,AD2500001044,6,54,23,12,19,135,55,31,49,620,282,153,185
202109050820,1860217400,AD2500001044,10,12,8,2,2,,,,,,,,
202109050220,1860217400,AD2500001044,3,19,6,8,5,,,,,,,,
202109051100,1860217400,AD2500001044,24,42,42,0,0,116,116,0,0,460,460,0,0
202109042020,1860217400,AD2500001044,9,68,30,12,26,,,,,,,,
202109050840,1860217400,AD2500001044,19,26,22,1,3,,,,,,,,
202109050240,1860217400,AD2500001044,0,7,1,1,5,,,,,,,,
202109051120,1860217400,AD2500001044,17,33,33,0,0,,,,,,,,
202109042040,1860217400,AD2500001044,12,43,18,17,8,,,,,,,,
202109050900,1860217400,AD2500001044,17,28,21,6,1,63,48,13,2,304,230,54,20
202109050300,1860217400,AD2500001044,0,7,1,3,3,24,6,8,10,118,30,37,51
202109070440,1860217400,AD2500001044,0,16,2,5,9,,,,,,,,
202109051140,1860217400,AD2500001044,21,17,17,0,0,,,,,,,,
202109071100,1860217400,AD2500001044,14,67,67,0,0,167,167,0,0,714,714,0,0
202109070500,1860217400,AD2500001044,0,9,4,1,4,21,8,3,10,181,54,31,96
202109081040,1860217400,AD2500001044,6,61,61,0,0,,,,,,,,
202109090640,1860217400,AD2500001044,9,11,4,4,3,,,,,,,,
